"giria","significado"
"Fila da Ilusão","Escolher a fila errada e ver todas as outras andando mais rápido."
"Sorriso de Educado","Sorrir pra alguém e perceber que a pessoa não tava nem olhando."
"Tecla do Mistério","Apertar um botão no controle remoto e mudar tudo sem saber como desfazer."
"Bolsa de Idoso","Achar um biscoito esquecido na mochila e comer mesmo assim."
"Tetris de Talher","Abrir a gaveta e encontrar tudo menos o talher que você precisa."
"Wi-Fi Furtivo","Roubar Wi-Fi do vizinho e rezar pra conexão não cair."
"Modo Rabanete","Ficar vermelho depois de dizer algo embaraçoso."
"Esfriamento Estratégico","Soprar comida quente e se queimar mesmo assim."
"Milagre do Tupperware","Procurar uma tampa de pote e só achar as erradas."
"Labirinto de Supermercado","Ir comprar uma coisa e acabar dando a volta no mercado inteiro."
"Palestrinha Interno","Explicar algo na mente antes de falar pra parecer inteligente."
"Modo Cacto","Ficar muito tempo sem beber água e depois tomar um litro de uma vez."
"Entrevista de Elevador","Ficar sozinho com um desconhecido no elevador e não saber pra onde olhar."
"Pulo do Youtube","Pular a introdução do vídeo porque ninguém tem paciência pra isso."
"Torcedor de Microondas","Ficar olhando a comida girar no micro-ondas como se fosse um jogo."
"Modo Gárgula","Sentar na cadeira de um jeito estranho e desconfortável, mas não querer mudar."
"Sofrência de Controle","Colocar pilha no controle e ele continuar sem funcionar."
"Plástico Invisível","Tentar abrir algo e perceber que tem um plástico invisível protegendo."
"Replay de Tragédia","Deixar algo cair e ficar olhando o desastre acontecer sem reagir."
"Modo GPS Falido","Virar o mapa do celular em todas as direções e continuar perdido."
"Caneta Desaparecida","Perder a caneta que estava na sua mão há 5 segundos."
"Dupla de Sacola","Levar várias sacolas pesadas de uma vez só pra não fazer outra viagem."
"Paradoxo do Lanche","Comprar um lanche e ele ser pequeno demais, mas grande demais ao mesmo tempo."
"Memória de Peixe","Abrir o celular pra fazer algo e esquecer o que era."
"Sombra de Mochila","Achar que alguém tá te seguindo, mas era só sua mochila balançando."
"Modo Tartaruga","Começar a correr mas perceber que andar rápido já era suficiente."
"Golpe do Canudo","Pegar um canudo de papel e ele desmanchar na primeira sugada."
"Cinema de Graça","Ver um filme na loja de eletrônicos sem precisar pagar."
"Modo Preguiça","Usar o pé pra pegar algo no chão ao invés de abaixar."
"Desafio do Sinal","Achar que vai dar tempo de atravessar a rua e quase ser atropelado."
"Tragédia do Fone","Puxar o fone do bolso e encontrar um ninho de fios impossível de desembolar."
"Drama da Fila","Tentar trocar de fila e acabar indo pra uma ainda mais lenta."
